review_priority,evidence_class,canonical_name,family,n_works,n_title_matches,n_context_matches,max_score,total_score,best_title,best_doi,best_openalex_id,best_match_evidence,followup_evidence_count,followup_direct_count,followup_natural_count,followup_artificial_count,natural_signal_count,artificial_signal_count,colour_change_signal_count,review_status,review_reason
P1,natural_polymorphism,Vicia faba,Fabaceae,8,6,7,30,152,Induced morphological variation in Vicia faba L.,10.1111/j.1601-5223.1971.tb02371.x,https://openalex.org/W1969572140,"Induced morphological variation in Vicia faba L.. Morphological observations, and to some extent genetic analyses, are presented for some groups of induced morphological mutations in Vicia faba L. They comprised unifoliate (9), flower colour (36) and seed-coat colour (57) mutants; dwarfs (5); types with altered pollen shape (3); a late maturing form (1); red-stemmed seedling (1); and forms with changes in the colour and shape of the hilum (4). Furth || Linkage Map of a Gene Controlling Zero Tannins (zt-1) in Faba Bean (Vicia faba L.) with SSR and ISSR Markers. Faba bean (Vicia faba L.), a partially allogamous species, is rich in protein. Condensed tannins limit the use of faba beans as food and feed. Two recessive genes, zt-1 and zt-2, control the zero tannin content in faba bean and promote a white flower phenotype. To determine the in || A comparative metabolomics investigation of flavonoid variation in faba bean flowers. INTRODUCTION: Faba bean (Vicia faba L.) flowers are edible and used as garnishes because of their aroma, sweet flavor and attractive colors. Anthocyanins are the common plant pigments that give flowers their vivid colors, whereas non-anthocyanin flavonoids can serve as co-pigments that can modi",4,1,0,0,0,1,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Hibiscus syriacus,Malvaceae,3,3,3,28,71,Studies on the Flower Color Variation in Hibiscus syriacus L.,,https://openalex.org/W1952690482,Studies on the Flower Color Variation in Hibiscus syriacus L.. Studies on the Flower Color Variation in Hibiscus syriacus L.,1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Rosa praelucens,Rosaceae,3,3,3,30,76,Identification and Validation of Reference Genes for qRT-PCR Analysis of Petal-Color-Related Genes in Rosa praelucens,10.3390/genes15030277,https://openalex.org/W4392105305,"Identification and Validation of Reference Genes for qRT-PCR Analysis of Petal-Color-Related Genes in Rosa praelucens. The flower’s color is regarded as one of the most outstanding features of the rose. Rosa praelucens Byhouwer, an endemic and critically endangered decaploid wild rose species, is abundant in phenotypic diversity, especially in flower color variation, from white to different degrees of pink. The mechanism underlying this variation, e.g., the level of petal-c || Studies on Phenotypic Diversity of Vulnerable Rosa praelucens Endemic to Shangrila,Yunnan. opulation and LHC population,which suggested that they had been possibly transplanted directly or indirectly from these 2 locations and then preserved. It is necessary to conserve more populations according to the phenotypic diversity and variation pattern of Rosa praelucens. The integrality of populations should also be kept in order to preserve as more ornamental traits as possible for further utilization.",2,1,0,1,0,2,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Aquilegia coerulea,Ranunculaceae,3,3,2,30,68,"The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea",10.1093/aob/mcv028,https://openalex.org/W2145222715,"The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea. BACKGROUND AND AIMS: Flower colour varies within and among populations of the Rocky Mountain columbine, Aquilegia coerulea, in conjunction with the abundance of its two major pollinators, hawkmoths and bumble-bees. This study seeks to understand whether the choice of flower colour by these major pollinators can help explain the variation in",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Barthea barthei,Melastomataceae,3,3,2,32,58,De novo genome assembly and population genomics of a shrub tree Barthea barthei (Hance) krass provide insights into the adaptive color variations,10.3389/fpls.2024.1365686,https://openalex.org/W4396557619,"De novo genome assembly and population genomics of a shrub tree Barthea barthei (Hance) krass provide insights into the adaptive color variations. ction in plants. Understanding the genetic mechanisms underlying shifts in flower color can provide key insights into ecological speciation. In this study, we investigated the genetic basis of flower color divergence in Barthea barthei , a shrub tree species exhibiting natural variation in flower color. We assembled a high-quality genome assembly for B. barthei with a contig N50 of 2.39 Mb and a scaffold N50 of 16.21 Mb. The assembly was annotated wit",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Paeonia suffruticosa,Paeoniaceae,3,3,2,14,40,Anthocyanins in Tree Peony (Paeonia suffruticosa) and Their Relationship with Flower Color,10.7235/hort.20200070,https://openalex.org/W3115061837,"Anthocyanins in Tree Peony (Paeonia suffruticosa) and Their Relationship with Flower Color. Flower color is an important trait of tree peony (Paeonia suffruticosa), an economically important species. The accurate classification of flower color and understanding of the mechanism involved in creating variations in flower color provide the basis of tree peony breeding and genetic re || Chlorophyllase (PsCLH1) and light-harvesting chlorophyll a/b binding protein 1 (PsLhcb1) and PsLhcb5 maintain petal greenness in Paeonia suffruticosa ‘Lv Mu Yin Yu’. s are not an adaptive trait in natural plants due to the challenge for pollinators to discriminate from leaves, but they are valuable in horticulture. The molecular mechanisms of green petals remain unclear. Tree peony (Paeonia suffruticosa) is a globally cultivated ornamental plant and considered the 'King of Flowers' in China. The P. suffruticosa 'Lv Mu Yin Yu (LMYY)' cultivar with green petals could be utilized as a representative model for understandin",2,1,0,2,0,5,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Eruca sativa,Brassicaceae,3,2,3,30,68,Natural Variation in Flower Color and Scent in Populations of Eruca sativa (Brassicaceae) Affects Pollination Behavior of Honey Bees,10.1093/jisesa/iez038,https://openalex.org/W2946516416,"Natural Variation in Flower Color and Scent in Populations of Eruca sativa (Brassicaceae) Affects Pollination Behavior of Honey Bees. Plants of Eruca sativa Mill. (Brassicaceae) from desert and Mediterranean populations in Israel differ in flower color and size. In the desert habitat, the population has higher abundance of flowers with cream color and longer petals, whereas in the Mediterranea",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Rhododendron eriocarpum,Ericaceae,3,2,2,28,66,Contribution of Rhododendron eriocarpum Nakai to the flower color variation in R. sataense Nakai,10.5109/24286,https://openalex.org/W2280255217,"Contribution of Rhododendron eriocarpum Nakai to the flower color variation in R. sataense Nakai. Contribution of Rhododendron eriocarpum Nakai to the flower color variation in R. sataense Nakai || Isozyme Variations of Six Evergreen Azalea Species Distributed in Kyushu, Japan.. Mdh-2, Pgm-1 and Pgm-2 were surveyed. Rhododendron sataense had the widest isozyme variation among six azalea species. The allelic variation of R. kaempferi was relatively wide, whereas those of R. kiusianum, R. serpyllifolium, and R. eriocarpum were narrow. Rhododendron eriocarpum, belonging to Tsutsusi series, and R. serpyllifolium, belonging to Serpyllifolia series, were easily distinguished in Gpi-2 from other azalea species belonging to Kaempferia series ; the species belonging to Kaempferia series could not be distinguished from e",2,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Agave lechuguilla,Asparagaceae,2,2,2,25,45,"Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity",10.3732/ajb.90.3.377,https://openalex.org/W2092683630,"Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity. ors. Differences among populations in the expression of floral characters could result from natural selection for their adaptive value to local conditions. We describe the patterns of variation of flower morphology, color, and fecundity of Agave lechuguilla in 11 populations along a latitudinal gradient encompassing the whole range of the species in the Chihuahuan desert. We found a latitudinal pattern in flower shape and color. Flowers tended to be shorter, more open, and colorful toward the",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Argyranthemum frutescens,Asteraceae,2,2,2,22,40,"Obtainment and confirmation of intergeneric hybrids between marguerite ( Argyranthemum frutescens (L.) Sch.Bip.) and two Rhodanthemum species ( R. hosmariense (Ball) B. H. Wilcox, K. Bremer & Humphries and R. catananche (Ball) B. H. Wilcox, K. Bremer & Humphries)",10.5511/plantbiotechnology.23.0202a,https://openalex.org/W4380208217,"Obtainment and confirmation of intergeneric hybrids between marguerite ( Argyranthemum frutescens (L.) Sch.Bip.) and two Rhodanthemum species ( R. hosmariense (Ball) B. H. Wilcox, K. Bremer & Humphries and R. catananche (Ball) B. H. Wilcox, K. Bremer & Humphries). Argyranthemum frutescens (L.) Sch.Bip. and Rhodanthemum gayanum (Coss. & Durieu) B. H. Wilcox, K. Bremer & Humphries are capable of hybridization. To expand flower color variation in this intergeneric hybrid group, we performed crosses using A. frutescens as the seed parent and R. ho",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Costus guanaiensis,Costaceae,2,2,2,26,48,An elevational gradient in floral traits and pollinator assemblages in the Neotropical species Costus guanaiensis var. tarmicus in Peru,10.1002/ece3.10314,https://openalex.org/W4385344381,"An elevational gradient in floral traits and pollinator assemblages in the Neotropical species Costus guanaiensis var. tarmicus in Peru. r‐driven selection results in floral trait variation along elevational gradients, but studies in tropical systems are lacking. We analyzed floral traits and pollinator assemblages in the Neotropical bee‐pollinated taxon Costus guanaiensis var. tarmicus across four sites along a steep elevational gradient in Peru. We found variations in floral traits of size, color, and reward, and in the pollinator assemblage along the elevational gradient. We examined o",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Gerbera aurantiaca,Asteraceae,2,2,2,34,59,Geographical Variation in Flower Color in the Grassland Daisy Gerbera aurantiaca: Testing for Associations With Pollinators and Abiotic Factors,10.3389/fevo.2021.676520,https://openalex.org/W3173834513,"Geographical Variation in Flower Color in the Grassland Daisy Gerbera aurantiaca: Testing for Associations With Pollinators and Abiotic Factors. rs or may reflect abiotic factors such as soil chemistry or neutral processes such as genetic drift. Here we document striking geographical structure in the color of capitula of the endemic South African grassland daisy Gerbera aurantiaca and ask which of these competing explanations best explains this pattern. The color of capitula ranges from predominantly red in the southwest to yellow in the center, with some northern populations showing within-popul",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Impatiens walleriana,Balsaminaceae,2,2,2,25,43,Integrated Multi-Omics Analysis Elucidates the Anthocyanin Regulatory Mechanism Underlying Flower Color Variation in Impatiens walleriana,10.3390/horticulturae12060713,https://openalex.org/W7164413590,"Integrated Multi-Omics Analysis Elucidates the Anthocyanin Regulatory Mechanism Underlying Flower Color Variation in Impatiens walleriana. Impatiens walleriana is a widely cultivated ornamental species extensively used in landscaping and garden design, with its vibrant floral colors constituting one of the primary determinants of its ornamental value. We found in preliminary observations that treatment of I. walleri",1,1,0,1,0,2,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Portulaca grandiflora,Portulacaceae,2,2,2,30,48,Flower color-associated variation in phenolic content and antioxidant capacity in Portulaca grandiflora,10.13057/biodiv/d270413,https://openalex.org/W7162254533,"Flower color-associated variation in phenolic content and antioxidant capacity in Portulaca grandiflora. Abstract. Hardiany L, Zahra A, Nafisah AZ, Santika S, Aisyah SI, Dinarty D, Nurcholis W. 2026. Flower color-associated variation in phenolic content and antioxidant capacity in Portulaca grandiflora. Biodiversitas 27 (4): d270413. https://doi.org/10.13057/biodiv/d270413. Phenolic and flavonoid compounds are important plant secondary metabolites contributing to antioxidant defense through radical scavenging and redox-related mechanisms. Portulaca grandifl",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Pedicularis comosa,Orobanchaceae,4,1,4,22,68,A cryptic hybrid zone reveals the genomic basis of flower colour variation in a plant with a large and complex genome,10.64898/2026.01.30.700338,https://openalex.org/W7127104116,"A cryptic hybrid zone reveals the genomic basis of flower colour variation in a plant with a large and complex genome. his trait may also results from other eco-evolutionary factors whose interpretation requires throughout context-specific analyses. Here, we investigated the eco-evolutionary causes of pink- and yellow-flowered morphs in Pedicularis comosa where their parapatric ranges form a contact zone: in the East of the Pyrenees Mountains. First, we generated a near-chromosome-scale reference genome assembly for this species. We then used a Genotyping By Sequencing a",1,1,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Raphanus sativus,Brassicaceae,22,17,11,39,454,REPRODUCTIVE BIOLOGY OF PETAL COLOR VARIANTS IN WILD POPULATIONS OF RAPHANUS SATIVUS: I. POLLINATOR RESPONSE TO COLOR MORPHS,10.1002/j.1537-2197.1987.tb08595.x,https://openalex.org/W2031071577,"Pollinator response to petal color polymorphism in wild radish (Raphanus sativus) was investigated. Behavior of insect visitors was observed within experimental flower arrays, each containing two of the petal color forms seen intermixed in California populations: white, yellow, pink, and bronze. Hon",0,0,0,0,4,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Raphanus raphanistrum,Brassicaceae,11,10,8,39,248,"Effects of pollinator preference on flower color polymorphism in wild radish, Raphanus raphanistrum (Brassicaceae).",,https://openalex.org/W163160015,"morphisms in plant populations. Pollinators may prefer one color morph to another, increasing its relative reproductive success, or they may remain constant to either morph, effecting assortative mating. In wild radish, Raphanus raphanistrum, these behaviors affect not only the frequencies of flower color traits, but also the persistence of crop genes in wild populations, as white-flowered plants in predominantly yellow-flowered populations may indicate pas",0,0,0,0,4,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Anemone coronaria,Ranunculaceae,8,8,5,39,260,Distribution under climate change of Anemone coronaria : linking flower colour and seed dispersal,10.1002/njb.05105,https://openalex.org/W7160547221,"Flower colour polymorphism is driven by divergent selection regimes on the colour morphs across time and space. Anemone coronaria , a colour‐polymorphic geophyte with red, purple, and white flowers, displays a geographic pattern along Israel's aridity gradient: polymorphic populations are restricted to Mediterranean climates, while monomorphic‐red",0,0,0,0,4,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Iris lutescens,Iridaceae,7,5,5,39,229,Neutral processes contribute to patterns of spatial variation for flower colour in the Mediterranean Iris lutescens (Iridaceae),10.1093/aob/mcw036,https://openalex.org/W2339618223,". natural selection in population differentiation. However, current explanations for the maintenance of flower colour polymorphism mainly rely on balancing selection, while neutral processes have seldom been championed. Iris lutescens (Iridaceae) is a widespread species in the northern Mediterranean basin, which shows a stable and striking purple-yellow flower colour polymorphism. To evaluate the roles of neutral processes in the spatial variation fo",0,0,0,0,4,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Lupinus pilosus,Fabaceae,1,1,1,39,39,Flower‐Colour Polymorphism in Lupinus pilosus in Israel,10.1111/j.1439-0523.1987.tb01189.x,https://openalex.org/W1985541337,"Abstract Four rare flower‐colour mutants were detected in natural populations of Lupinus pilosus in Israel. The breeding systems and genetic bases of three oif them were examined. Mutants were tagged in wild populations and seed obtained upon open pollination was collected and grown in a, net house which was insect",0,0,0,0,4,2,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Antirrhinum majus,Plantaginaceae,23,12,16,34,364,The role of pollinator-mediated selection in the maintenance of a flower color polymorphism in an Antirrhinum majus hybrid zone,10.15479/at:ista:th_526,https://openalex.org/W2954960215,"been tested by selection. This provides an excellent opportunity to test the effect of mo- lecular variation on fitness, and how this variation is able to spread through populations in a natural context. The snapdragon Antirrhinum majus is polymorphic in the wild for two loci controlling the distribution of yellow and magenta floral pigments. Where the yellow A. m. striatum and the magenta A. m. pseudomajus meet along a valley in the Spanish Pyren- ees",0,0,0,0,3,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Hesperis matronalis,Brassicaceae,8,8,5,39,219,The Impact of Biochemistry vs. Population Membership on Floral Scent Profiles in Colour Polymorphic Hesperis matronalis,10.1093/aob/mcn181,https://openalex.org/W2160805784,"the relative effects of shared biochemistry and/or localized population-level phenomena on floral scent phenotype, floral scent composition and emission rate were examined in five wild populations of colour polymorphic Hesperis matronalis (Brassicaceae). METHODS: Floral scent was collected by in situ dynamic headspace extraction on purple and white colour morphs in each of five wild populations. Gas chromatography-mass spectroscopy of extracts allowed de",0,0,0,0,3,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Fritillaria persica,Liliaceae,2,2,2,25,50,Environment or Pollinators? Factors Shaping Breeding System and Spatial Variation in Nectar Properties and Pollination System in a Desert Species Fritillaria persica L. (Liliaceae),10.1002/ece3.71265,https://openalex.org/W4409814846,"in zoogamous angiosperms. Here we combine observational data and field experiments to describe the assemblages of pollinators, breeding systems, and reward properties in studied populations of the Middle East geophyte, Fritillaria persica . Natural populations of this species include two floral color morphs with greenish or purple flowers; in both morphs, the nectaries of the outer whorl are covered by the tepals of the inner one. Our study documented ge",0,0,0,0,3,1,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Rhododendron cyanocarpum,Ericaceae,2,2,1,39,68,"Flower Color Polymorphism in Rhododendron cyanocarpum(Ericaceae),an Endangered Alpine Species Endemic to NW Yunnan,China",,https://openalex.org/W3151048116,"Rhododendron cyanocarpum is a narrow endemic species with pink and white floral color. In the present study,to investigate the significance of petal color morphs,we examined color morph frequencies,petal color reflectance and other associated f",0,0,0,0,3,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Anemone palmata,Ranunculaceae,1,1,1,39,39,Pollinator response to yellow UV ‐patterned versus white UV ‐patternless flower dimorphism in Anemone palmata,10.1111/plb.13702,https://openalex.org/W4402126765,"Flower colour polymorphisms are uncommon but widespread among angiosperms and can be maintained by a variety of balancing selection mechanisms. Anemone palmata is mostly yellow-flowered, but white-flowered plants coexist in some populations. We analysed the distribution of colour morphs of A. palmata across its range. We also characterised their colours and compared their vege",0,0,0,0,3,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Solanum carolinense,Solanaceae,1,1,1,31,31,A field investigation into potential reproductive and resistance advantages of purple-petalled plants in polymorphic populations of horsenettle (Solanum carolinense),10.5091/plecevo.128527,https://openalex.org/W4403078083,"lutionary biologists alike. Nevertheless, the diversity of genetic factors and ecological interactions that act to maintain flower-color polymorphisms over time are understood for very few species. Here, we suggest that Solanum carolinense (horsenettle) makes an excellent model system for studying the evolutionary ecology of a flower-color polymorphism, and we begin to shed insight into factors that might affect the stability of the polymorphism. Material",0,0,0,0,3,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Lotus corniculatus,Fabaceae,5,5,1,39,93,THE KEEL PETAL COLOUR POLYMORPHISM OF LOTUS CORNICULATUS L. IN SCOTLAND,10.1111/j.1469-8137.1981.tb04098.x,https://openalex.org/W2166044192,"SUMMARY In a survey of the keel petal colour polymorphism in Lotus corniculatus L. conducted at 61 coastal and inland locations in Scotland, there was a major difference in morph frequency between populations in the west and those in the east and central areas, with the dark keel being at low‐relat",0,0,0,0,2,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Platystemon californicus,Papaveraceae,3,3,3,39,111,FLOWER COLOR POLYMORPHISM AND POLLINATION BIOLOGY OF PLATYSTEMON CALIFORNICUS BENTH. (PAPAVERACEAE),10.1002/j.1537-2197.1981.tb12383.x,https://openalex.org/W2023026998,"Five genetically controlled flower color morphs in Platystemon californicus tend to occur in distinct geographic regions, suggesting regional selection of morphs. I examined the reproductive biology of P. californicus to determine whether color morphs are subject to selection due to differences",0,0,0,0,2,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
