feature_a,feature_b,spearman_rho
main__atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.05593753881134581
main__atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_terrain_structure,0.03238824720797149
main__atmospheric_energy_dryness,interaction__edaphic_regime_x_terrain_structure,0.04447159248325738
main__atmospheric_energy_dryness,interaction__thermal_regime_x_atmospheric_energy_dryness,0.12587988306440057
main__atmospheric_energy_dryness,interaction__thermal_regime_x_edaphic_regime,0.03365767676478175
main__atmospheric_energy_dryness,interaction__thermal_regime_x_terrain_structure,0.13582514115387923
main__atmospheric_energy_dryness,interaction__thermal_regime_x_water_balance,-0.08877862486027915
main__atmospheric_energy_dryness,interaction__water_balance_x_atmospheric_energy_dryness,-0.006917495438174123
main__atmospheric_energy_dryness,interaction__water_balance_x_edaphic_regime,0.042050242182797855
main__atmospheric_energy_dryness,interaction__water_balance_x_terrain_structure,-0.04226328661641493
main__edaphic_regime,main__terrain_structure,0.02116113993102328
main__edaphic_regime,main__thermal_regime,0.055187106512663245
main__edaphic_regime,main__water_balance,0.16112536184116247
main__edaphic_regime,main__atmospheric_energy_dryness,0.05399577732557584
main__edaphic_regime,main__edaphic_regime,1.0
main__edaphic_regime,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.019398268894557334
main__edaphic_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,0.022987542155092525
main__edaphic_regime,interaction__edaphic_regime_x_terrain_structure,0.07292042838172212
main__edaphic_regime,interaction__thermal_regime_x_atmospheric_energy_dryness,-0.027353520009935704
main__edaphic_regime,interaction__thermal_regime_x_edaphic_regime,-0.030241561816323217
main__edaphic_regime,interaction__thermal_regime_x_terrain_structure,0.04890755018008464
main__edaphic_regime,interaction__thermal_regime_x_water_balance,-0.032908199822303745
main__edaphic_regime,interaction__water_balance_x_atmospheric_energy_dryness,-0.007688945573357026
main__edaphic_regime,interaction__water_balance_x_edaphic_regime,-0.05142921288202306
main__edaphic_regime,interaction__water_balance_x_terrain_structure,-0.03162467876147622
interaction__atmospheric_energy_dryness_x_edaphic_regime,main__terrain_structure,-0.010044615134752993
interaction__atmospheric_energy_dryness_x_edaphic_regime,main__thermal_regime,-0.07492667641129995
interaction__atmospheric_energy_dryness_x_edaphic_regime,main__water_balance,-0.09395880504045934
interaction__atmospheric_energy_dryness_x_edaphic_regime,main__atmospheric_energy_dryness,0.05593753881134581
interaction__atmospheric_energy_dryness_x_edaphic_regime,main__edaphic_regime,0.019398268894557334
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_edaphic_regime,1.0
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,0.13035381617035913
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__edaphic_regime_x_terrain_structure,0.339900929561587
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__thermal_regime_x_atmospheric_energy_dryness,0.2106806435279394
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__thermal_regime_x_edaphic_regime,0.4254127138803703
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__thermal_regime_x_terrain_structure,0.07043578573271043
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__thermal_regime_x_water_balance,0.03259388763100322
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__water_balance_x_atmospheric_energy_dryness,0.23026210197472127
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__water_balance_x_edaphic_regime,0.34168481843455334
interaction__atmospheric_energy_dryness_x_edaphic_regime,interaction__water_balance_x_terrain_structure,0.046891032071307785
interaction__atmospheric_energy_dryness_x_terrain_structure,main__terrain_structure,-0.053186590620312786
interaction__atmospheric_energy_dryness_x_terrain_structure,main__thermal_regime,-0.0365922921861416
interaction__atmospheric_energy_dryness_x_terrain_structure,main__water_balance,-0.03570691582356482
interaction__atmospheric_energy_dryness_x_terrain_structure,main__atmospheric_energy_dryness,0.03238824720797149
interaction__atmospheric_energy_dryness_x_terrain_structure,main__edaphic_regime,0.022987542155092525
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.13035381617035913
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__atmospheric_energy_dryness_x_terrain_structure,1.0
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__edaphic_regime_x_terrain_structure,0.113030580952108
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__thermal_regime_x_atmospheric_energy_dryness,0.36715628672150413
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__thermal_regime_x_edaphic_regime,0.062436827070973415
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__thermal_regime_x_terrain_structure,0.42550633878841726
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__thermal_regime_x_water_balance,0.2058828446686347
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,0.3617721379916502
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__water_balance_x_edaphic_regime,0.05596858788799404
interaction__atmospheric_energy_dryness_x_terrain_structure,interaction__water_balance_x_terrain_structure,0.347014034182645
interaction__edaphic_regime_x_terrain_structure,main__terrain_structure,-0.05911433703056185
interaction__edaphic_regime_x_terrain_structure,main__thermal_regime,-0.18319217945410946
interaction__edaphic_regime_x_terrain_structure,main__water_balance,-0.01485961040573978
interaction__edaphic_regime_x_terrain_structure,main__atmospheric_energy_dryness,0.04447159248325738
interaction__edaphic_regime_x_terrain_structure,main__edaphic_regime,0.07292042838172212
interaction__edaphic_regime_x_terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.339900929561587
interaction__edaphic_regime_x_terrain_structure,interaction__atmospheric_energy_dryness_x_terrain_structure,0.113030580952108
interaction__edaphic_regime_x_terrain_structure,interaction__edaphic_regime_x_terrain_structure,1.0
interaction__edaphic_regime_x_terrain_structure,interaction__thermal_regime_x_atmospheric_energy_dryness,0.06172986347959837
interaction__edaphic_regime_x_terrain_structure,interaction__thermal_regime_x_edaphic_regime,0.3776494415942984
interaction__edaphic_regime_x_terrain_structure,interaction__thermal_regime_x_terrain_structure,0.15686901111079266
interaction__edaphic_regime_x_terrain_structure,interaction__thermal_regime_x_water_balance,0.09874776685487184
interaction__edaphic_regime_x_terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,0.09615540779379592
interaction__edaphic_regime_x_terrain_structure,interaction__water_balance_x_edaphic_regime,0.3966880188778386
interaction__edaphic_regime_x_terrain_structure,interaction__water_balance_x_terrain_structure,0.19790323197004003
interaction__thermal_regime_x_atmospheric_energy_dryness,main__terrain_structure,0.06315788216636573
interaction__thermal_regime_x_atmospheric_energy_dryness,main__thermal_regime,0.007854222196746056
interaction__thermal_regime_x_atmospheric_energy_dryness,main__water_balance,-0.005040220496212012
interaction__thermal_regime_x_atmospheric_energy_dryness,main__atmospheric_energy_dryness,0.12587988306440057
interaction__thermal_regime_x_atmospheric_energy_dryness,main__edaphic_regime,-0.027353520009935704
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.2106806435279394
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_terrain_structure,0.36715628672150413
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__edaphic_regime_x_terrain_structure,0.06172986347959837
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__thermal_regime_x_atmospheric_energy_dryness,1.0
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__thermal_regime_x_edaphic_regime,0.142929408730045
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__thermal_regime_x_terrain_structure,0.3321821291068375
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__thermal_regime_x_water_balance,0.3244067237969677
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__water_balance_x_atmospheric_energy_dryness,0.44324515395565234
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__water_balance_x_edaphic_regime,0.12539575630773933
interaction__thermal_regime_x_atmospheric_energy_dryness,interaction__water_balance_x_terrain_structure,0.10639013881325653
interaction__thermal_regime_x_edaphic_regime,main__terrain_structure,-0.08177729691515481
interaction__thermal_regime_x_edaphic_regime,main__thermal_regime,-0.014403427818061964
interaction__thermal_regime_x_edaphic_regime,main__water_balance,-0.07545164464570615
interaction__thermal_regime_x_edaphic_regime,main__atmospheric_energy_dryness,0.03365767676478175
interaction__thermal_regime_x_edaphic_regime,main__edaphic_regime,-0.030241561816323217
interaction__thermal_regime_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.4254127138803703
interaction__thermal_regime_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,0.062436827070973415
interaction__thermal_regime_x_edaphic_regime,interaction__edaphic_regime_x_terrain_structure,0.3776494415942984
interaction__thermal_regime_x_edaphic_regime,interaction__thermal_regime_x_atmospheric_energy_dryness,0.142929408730045
interaction__thermal_regime_x_edaphic_regime,interaction__thermal_regime_x_edaphic_regime,1.0
interaction__thermal_regime_x_edaphic_regime,interaction__thermal_regime_x_terrain_structure,0.16923203691496375
interaction__thermal_regime_x_edaphic_regime,interaction__thermal_regime_x_water_balance,0.16158703772701652
interaction__thermal_regime_x_edaphic_regime,interaction__water_balance_x_atmospheric_energy_dryness,0.06035797196984896
interaction__thermal_regime_x_edaphic_regime,interaction__water_balance_x_edaphic_regime,0.49865103703916
interaction__thermal_regime_x_edaphic_regime,interaction__water_balance_x_terrain_structure,0.13549196067753863
interaction__thermal_regime_x_terrain_structure,main__terrain_structure,-0.00448850228807811
interaction__thermal_regime_x_terrain_structure,main__thermal_regime,-0.04308011617131447
interaction__thermal_regime_x_terrain_structure,main__water_balance,0.023402644425974225
interaction__thermal_regime_x_terrain_structure,main__atmospheric_energy_dryness,0.13582514115387923
interaction__thermal_regime_x_terrain_structure,main__edaphic_regime,0.04890755018008464
interaction__thermal_regime_x_terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.07043578573271043
interaction__thermal_regime_x_terrain_structure,interaction__atmospheric_energy_dryness_x_terrain_structure,0.42550633878841726
interaction__thermal_regime_x_terrain_structure,interaction__edaphic_regime_x_terrain_structure,0.15686901111079266
interaction__thermal_regime_x_terrain_structure,interaction__thermal_regime_x_atmospheric_energy_dryness,0.3321821291068375
interaction__thermal_regime_x_terrain_structure,interaction__thermal_regime_x_edaphic_regime,0.16923203691496375
interaction__thermal_regime_x_terrain_structure,interaction__thermal_regime_x_terrain_structure,1.0
interaction__thermal_regime_x_terrain_structure,interaction__thermal_regime_x_water_balance,0.3640002674997373
interaction__thermal_regime_x_terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,0.1256109502928167
interaction__thermal_regime_x_terrain_structure,interaction__water_balance_x_edaphic_regime,0.1281457491425678
interaction__thermal_regime_x_terrain_structure,interaction__water_balance_x_terrain_structure,0.4433664841936316
interaction__thermal_regime_x_water_balance,main__terrain_structure,-0.08241547485980148
interaction__thermal_regime_x_water_balance,main__thermal_regime,-0.05991158178326789
interaction__thermal_regime_x_water_balance,main__water_balance,-0.010731277406781118
interaction__thermal_regime_x_water_balance,main__atmospheric_energy_dryness,-0.08877862486027915
interaction__thermal_regime_x_water_balance,main__edaphic_regime,-0.032908199822303745
interaction__thermal_regime_x_water_balance,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.03259388763100322
interaction__thermal_regime_x_water_balance,interaction__atmospheric_energy_dryness_x_terrain_structure,0.2058828446686347
interaction__thermal_regime_x_water_balance,interaction__edaphic_regime_x_terrain_structure,0.09874776685487184
interaction__thermal_regime_x_water_balance,interaction__thermal_regime_x_atmospheric_energy_dryness,0.3244067237969677
interaction__thermal_regime_x_water_balance,interaction__thermal_regime_x_edaphic_regime,0.16158703772701652
interaction__thermal_regime_x_water_balance,interaction__thermal_regime_x_terrain_structure,0.3640002674997373
interaction__thermal_regime_x_water_balance,interaction__thermal_regime_x_water_balance,1.0
interaction__thermal_regime_x_water_balance,interaction__water_balance_x_atmospheric_energy_dryness,0.41576385505335667
interaction__thermal_regime_x_water_balance,interaction__water_balance_x_edaphic_regime,0.16496828217400858
interaction__thermal_regime_x_water_balance,interaction__water_balance_x_terrain_structure,0.3531849187469548
interaction__water_balance_x_atmospheric_energy_dryness,main__terrain_structure,0.018077488941751933
interaction__water_balance_x_atmospheric_energy_dryness,main__thermal_regime,-0.024432757253541982
interaction__water_balance_x_atmospheric_energy_dryness,main__water_balance,-0.025798677787012888
interaction__water_balance_x_atmospheric_energy_dryness,main__atmospheric_energy_dryness,-0.006917495438174123
interaction__water_balance_x_atmospheric_energy_dryness,main__edaphic_regime,-0.007688945573357026
interaction__water_balance_x_atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.23026210197472127
interaction__water_balance_x_atmospheric_energy_dryness,interaction__atmospheric_energy_dryness_x_terrain_structure,0.3617721379916502
interaction__water_balance_x_atmospheric_energy_dryness,interaction__edaphic_regime_x_terrain_structure,0.09615540779379592
interaction__water_balance_x_atmospheric_energy_dryness,interaction__thermal_regime_x_atmospheric_energy_dryness,0.44324515395565234
interaction__water_balance_x_atmospheric_energy_dryness,interaction__thermal_regime_x_edaphic_regime,0.06035797196984896
interaction__water_balance_x_atmospheric_energy_dryness,interaction__thermal_regime_x_terrain_structure,0.1256109502928167
interaction__water_balance_x_atmospheric_energy_dryness,interaction__thermal_regime_x_water_balance,0.41576385505335667
interaction__water_balance_x_atmospheric_energy_dryness,interaction__water_balance_x_atmospheric_energy_dryness,1.0
interaction__water_balance_x_atmospheric_energy_dryness,interaction__water_balance_x_edaphic_regime,0.14422630477773637
interaction__water_balance_x_atmospheric_energy_dryness,interaction__water_balance_x_terrain_structure,0.20744628509739857
interaction__water_balance_x_edaphic_regime,main__terrain_structure,-0.024394781844410688
interaction__water_balance_x_edaphic_regime,main__thermal_regime,-0.08148018113553639
interaction__water_balance_x_edaphic_regime,main__water_balance,-0.0653313175317417
interaction__water_balance_x_edaphic_regime,main__atmospheric_energy_dryness,0.042050242182797855
interaction__water_balance_x_edaphic_regime,main__edaphic_regime,-0.05142921288202306
interaction__water_balance_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.34168481843455334
interaction__water_balance_x_edaphic_regime,interaction__atmospheric_energy_dryness_x_terrain_structure,0.05596858788799404
interaction__water_balance_x_edaphic_regime,interaction__edaphic_regime_x_terrain_structure,0.3966880188778386
interaction__water_balance_x_edaphic_regime,interaction__thermal_regime_x_atmospheric_energy_dryness,0.12539575630773933
interaction__water_balance_x_edaphic_regime,interaction__thermal_regime_x_edaphic_regime,0.49865103703916
interaction__water_balance_x_edaphic_regime,interaction__thermal_regime_x_terrain_structure,0.1281457491425678
interaction__water_balance_x_edaphic_regime,interaction__thermal_regime_x_water_balance,0.16496828217400858
interaction__water_balance_x_edaphic_regime,interaction__water_balance_x_atmospheric_energy_dryness,0.14422630477773637
interaction__water_balance_x_edaphic_regime,interaction__water_balance_x_edaphic_regime,1.0
interaction__water_balance_x_edaphic_regime,interaction__water_balance_x_terrain_structure,0.131477792745025
interaction__water_balance_x_terrain_structure,main__terrain_structure,-0.05069143905305093
interaction__water_balance_x_terrain_structure,main__thermal_regime,-0.06665138096739369
interaction__water_balance_x_terrain_structure,main__water_balance,-0.017717080813581344
interaction__water_balance_x_terrain_structure,main__atmospheric_energy_dryness,-0.04226328661641493
interaction__water_balance_x_terrain_structure,main__edaphic_regime,-0.03162467876147622
interaction__water_balance_x_terrain_structure,interaction__atmospheric_energy_dryness_x_edaphic_regime,0.046891032071307785
interaction__water_balance_x_terrain_structure,interaction__atmospheric_energy_dryness_x_terrain_structure,0.347014034182645
interaction__water_balance_x_terrain_structure,interaction__edaphic_regime_x_terrain_structure,0.19790323197004003
interaction__water_balance_x_terrain_structure,interaction__thermal_regime_x_atmospheric_energy_dryness,0.10639013881325653
interaction__water_balance_x_terrain_structure,interaction__thermal_regime_x_edaphic_regime,0.13549196067753863
interaction__water_balance_x_terrain_structure,interaction__thermal_regime_x_terrain_structure,0.4433664841936316
interaction__water_balance_x_terrain_structure,interaction__thermal_regime_x_water_balance,0.3531849187469548
interaction__water_balance_x_terrain_structure,interaction__water_balance_x_atmospheric_energy_dryness,0.20744628509739857
interaction__water_balance_x_terrain_structure,interaction__water_balance_x_edaphic_regime,0.131477792745025
interaction__water_balance_x_terrain_structure,interaction__water_balance_x_terrain_structure,1.0
