species,family,broad_clade,candidate_reason,evidence_status,priority,pollination_mode_to_verify,outcome_to_verify,source_hint
Hesperis matronalis,Brassicaceae,eudicot,purple-white flower variants candidate,screening,medium,moth_or_insect,unknown,verify wild populations
Matthiola incana,Brassicaceae,eudicot,colour diversity with cultivation confounding,screening,low,insect,unknown,restrict to wild populations
Cakile maritima,Brassicaceae,eudicot,pink-white floral variation candidate,screening,medium,insect,unknown,verify discrete natural morphs
Leavenworthia alabamica,Brassicaceae,eudicot,flower colour and mating-system variation candidate,screening,medium,insect,unknown,verify colour polymorphism specifically
Fuchsia excorticata,Onagraceae,eudicot,flower colour change during anthesis,screening,low,bird,unknown,exclude ontogenetic change unless stable morphs coexist
Oenothera speciosa,Onagraceae,eudicot,pink-white flower colour variation candidate,screening,medium,moth_or_mixed,unknown,verify natural discrete morphs
Oenothera biennis,Onagraceae,eudicot,flower colour variation candidate,screening,low,moth,unknown,verify discrete morphs
Hibiscus trionum,Malvaceae,eudicot,petal colour and pattern variation candidate,screening,medium,insect,unknown,verify natural discrete morphs
Hibiscus rosa-sinensis,Malvaceae,eudicot,colour diversity cultivation confounded,screening,low,bird_or_insect,unknown,exclude cultivar-only variation
Gladiolus carinatus,Iridaceae,monocot,flower colour variation candidate,screening,medium,insect,unknown,verify natural polymorphism
Gladiolus cunonius,Iridaceae,monocot,flower colour variation candidate,screening,medium,insect,unknown,verify natural discrete morphs
Romulea rosea,Iridaceae,monocot,flower colour variation candidate,screening,medium,insect,unknown,verify within-population coexistence
Crocus vernus,Iridaceae,monocot,purple-white striped floral variation candidate,screening,high,insect,unknown,verify natural population structure
Crocus sativus,Iridaceae,monocot,cultivated sterile crop,screening,low,insect,unknown,exclude from natural-polymorphism analysis
Trillium erectum,Melanthiaceae,monocot,red-white floral variation candidate,screening,high,insect,unknown,verify taxonomic versus intraspecific status
Trillium sessile,Melanthiaceae,monocot,petal colour variation candidate,screening,medium,insect,unknown,verify natural discrete morphs
Nymphaea odorata,Nymphaeaceae,basal_angiosperm,flower colour variants candidate,screening,medium,insect,unknown,verify natural versus horticultural variation
Nymphaea caerulea,Nymphaeaceae,basal_angiosperm,flower colour variation candidate,screening,low,insect,unknown,verify natural discrete morphs
Magnolia sprengeri,Magnoliaceae,magnoliid,flower colour variation candidate,screening,medium,beetle_or_mixed,unknown,verify natural population evidence
Aristolochia rotunda,Aristolochiaceae,magnoliid,perianth colour variation candidate,screening,medium,fly,unknown,verify discrete morphs
Arum maculatum,Araceae,monocot,spathe colour variation candidate,screening,medium,insect,unknown,code display_structure as spathe and verify morphs
Arum italicum,Araceae,monocot,spathe colour variation candidate,screening,medium,insect,unknown,verify natural discrete morphs
Zantedeschia aethiopica,Araceae,monocot,colour variation largely horticultural,screening,low,insect,unknown,exclude cultivar-only variation
Amorphophallus konjac,Araceae,monocot,spathe colour variation candidate,screening,low,insect,unknown,verify natural population polymorphism
Bougainvillea glabra,Nyctaginaceae,eudicot,bract colour diversity cultivation confounded,screening,low,insect,unknown,display is bract and likely exclude cultivars
Mirabilis jalapa,Nyctaginaceae,eudicot,extreme flower colour variation with cultivation and inheritance literature,screening,medium,moth,unknown,restrict to naturalized populations
Abronia umbellata,Nyctaginaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify natural morphs
Aconitum napellus,Ranunculaceae,eudicot,blue-white flower variants candidate,screening,medium,insect,unknown,verify natural polymorphism
Anemone coronaria,Ranunculaceae,eudicot,high natural flower colour polymorphism candidate,screening,high,insect,unknown,verify wild population structure
Papaver rhoeas,Papaveraceae,eudicot,red-orange-white petal variation candidate,screening,medium,insect,unknown,verify natural discrete morphs
Papaver somniferum,Papaveraceae,eudicot,colour diversity cultivation confounded,screening,low,insect,unknown,exclude crop and cultivar variation
Eschscholzia californica,Papaveraceae,eudicot,orange-yellow flower colour variation candidate,screening,medium,insect,unknown,verify natural polymorphism
Polygala lewtonii,Polygalaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify natural population evidence
Kalmia latifolia,Ericaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify wild discrete morphs
Rhododendron ferrugineum,Ericaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify local versus geographic morphs
Rhododendron hirsutum,Ericaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify natural polymorphism
Calluna vulgaris,Ericaceae,eudicot,pink-white floral variation candidate,screening,high,insect,unknown,verify wild population coexistence
Erica tetralix,Ericaceae,eudicot,pink-white floral variation candidate,screening,medium,insect,unknown,verify natural morphs
Vaccinium vitis-idaea,Ericaceae,eudicot,flower colour variation candidate,screening,low,insect,unknown,verify discrete morphs
Corydalis cava,Papaveraceae,eudicot,purple-white flower colour dimorphism candidate,screening,high,insect,unknown,verify local coexistence and genetics
Corydalis solida,Papaveraceae,eudicot,flower colour polymorphism candidate,screening,medium,insect,unknown,verify population structure
Fritillaria meleagris,Liliaceae,monocot,purple-white floral colour polymorphism candidate,screening,high,insect,unknown,verify local coexistence
Fritillaria camschatcensis,Liliaceae,monocot,dark-yellow floral variation candidate,screening,medium,insect_or_fly,unknown,verify discrete morphs
Lilium martagon,Liliaceae,monocot,pink-white flower variants candidate,screening,medium,insect,unknown,verify wild recurrent morphs
Tulipa sylvestris,Liliaceae,monocot,flower colour variation candidate,screening,low,insect,unknown,verify discrete morphs
Allium schoenoprasum,Amaryllidaceae,monocot,pink-white inflorescence colour variation candidate,screening,medium,insect,unknown,verify natural morphs
Allium ursinum,Amaryllidaceae,monocot,mostly white with rare variants,screening,low,insect,unknown,likely monomorphic control candidate
Pelargonium incrassatum,Geraniaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify natural population morphs
Geranium robertianum,Geraniaceae,eudicot,pink-white flower variants candidate,screening,medium,insect,unknown,verify natural polymorphism
Geranium sylvaticum,Geraniaceae,eudicot,purple-pink-white variation candidate,screening,medium,insect,unknown,verify local coexistence
Pachycereus pringlei,Cactaceae,eudicot,flower colour variation candidate,screening,low,bat_or_mixed,unknown,verify discrete morphs
Opuntia polyacantha,Cactaceae,eudicot,flower colour polymorphism candidate,screening,high,insect,unknown,verify within-population colour morphs
Opuntia basilaris,Cactaceae,eudicot,flower colour variation candidate,screening,medium,insect,unknown,verify natural morphs
