species,n_classifiable,genus,inat_taxon_id,after_observer_cap,maximum_span_km_after_observer_cap,inat_taxon_id_sensitivity,after_observer_cap_sensitivity,maximum_span_km,latitude_n,mean_latitude,min_latitude,max_latitude,inat_taxon_id_photos,abs_mean_latitude,log1p_span_primary,log1p_span_sensitivity,taxon_id_source_disagreement,family,family_taxon_id,retrieval_status,pollination_guild,pollination_guild_raw,pollination_guild_mapped,admissible_source_backed_exact,pollination_notes,evidence_type,confidence
Ajuga genevensis,49,Ajuga,61326,293,9602.93729311896,61326,163,9191.72760261152,100,48.670518685184,41.1321473084,55.91163,61326,48.670518685184,9.169928428073572,9.126167972467664,False,Lamiaceae,48623.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4497898"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Ajuga"",""species_epithet"":""genevensis"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""56765"",""work_species"":""Ajuga genevensis""} | {""trait_derived_ID"":""4508746"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee"",""genus"":""Ajuga"",""species_epithet"":""gene…",inference|review,low
Alchemilla alpina,54,Alchemilla,85441,121,4489.398778612424,85441,121,4489.398778612424,100,60.245644633486,41.13072958,69.6369628906,85441,60.245644633486,8.409696791628225,8.409696791628225,False,Rosaceae,47148.0,ok,unknown,,,False,unknown,inference,low
Allium drummondii,63,Allium,128731,161,1137.9085884102,128731,146,1137.9085884102,100,31.40377019862,27.4700662332,37.1131689651,128731,31.40377019862,7.0378257042214045,7.0378257042214045,False,Amaryllidaceae,55849.0,ok,,,,False,,,
Allium praecox,65,Allium,75360,325,537.5894064797178,75360,132,398.0339857206475,100,33.071401912775,30.9471527778,34.1119927727,75360,33.071401912775,6.28895351156119,5.989046590507218,False,Amaryllidaceae,55849.0,ok,unknown,,,False,unknown,flora,medium
Allium schoenoprasum,50,Allium,59254,492,19968.64534024444,59254,194,19798.799448373826,100,47.987477412446,-44.949585,74.04077,59254,47.987477412446,9.901968666624938,9.89342708776132,False,Amaryllidaceae,55849.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Allium schoenoprasum as largely self-compatible (SC). | {""trait_derived_ID"":""4497922"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Allium"",""species_epithet"":""schoenoprasum"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""1566"",""work_species"":""Allium schoenoprasum""} | {""trait_derived_ID"":""4…",flora|review,medium
Allium tuberosum,67,Allium,122343,202,19735.011156654225,122343,123,18350.601591981344,100,33.134062569619,-35.2179816576,53.9168981354,122343,33.134062569619,9.890200223503633,9.817472129890987,False,Amaryllidaceae,55849.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""1009632"",""ref_ID"":""10199"",""trait_ID"":""3.6.3"",""trait_value"":""bee/insect"",""genus"":""Allium"",""species_epithet"":""tuberosum"",""author"":""Rottler. ex Spreng."",""matched"":""1"",""resolved"":""1"",""work_ID"":""1581"",""work_species"":""Allium tuberosum""}",flora|horticulture|review,medium
Althaea officinalis,59,Althaea,52565,191,11781.886442873008,52565,176,11781.886442873008,100,46.911233378698995,30.5399580211,55.8062567593,52565,46.911233378698995,9.374403456297216,9.374403456297216,False,Malvaceae,48797.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4497958"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Althaea"",""species_epithet"":""officinalis"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""1852"",""work_species"":""Althaea officinalis""} | {""trait_derived_ID"":""4510427"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee"",""genus"":""Althaea"",""species_epithet…",flora|review,medium
Alyxia buxifolia,45,Alyxia,353914,110,3472.61674439148,353914,110,3472.61674439148,100,-34.830894682291,-41.7513053877,-27.7917912727,353914,34.830894682291,8.152951619584393,8.152951619584393,False,Apocynaceae,47362.0,ok,mixed,mixed,mixed,True,Bulk source austraits_all_target_floral_v7.0.0 record austraits:Draper_2023:435373: pollination_syndrome = insect. | Bulk source austraits_all_target_floral_v7.0.0 record austraits:White_2020:1575841: pollination_syndrome = insect.,review,medium
Amsinckia tessellata,70,Amsinckia,58050,242,1715.5707815552246,58050,164,1688.7757102667763,100,35.959743992213,33.2423888889,47.11462706,58050,35.959743992213,7.448083848024978,7.43235108329112,False,Boraginaceae,48150.0,ok,unknown,,,False,unknown,inference,low
Anchusa arvensis,50,Anchusa,62200,347,16907.59789272588,62200,177,15852.396915004134,100,48.768862947764,-35.6233607466,59.2434575934,62200,48.768862947764,9.735577522590095,9.671139072746993,False,Boraginaceae,48150.0,ok,,,,False,,,
Andromeda polifolia,51,Andromeda,119892,432,9560.470737478783,119892,180,9176.716338296335,100,56.112997579163,42.80230782,69.472535,119892,56.112997579163,9.16549683704536,9.124533687775951,False,Ericaceae,133387.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4497991"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Andromeda"",""species_epithet"":""polifolia"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""2223"",""work_species"":""Andromeda polifolia""} | {""trait_derived_ID"":""4510579"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee/butterfly"",""genus"":""Andromeda"",""spe…",flora|horticulture|inference|review,low
Androsace villosa,78,Androsace,207816,150,4329.910067385282,207816,150,4329.910067385282,100,42.803954576545,38.0202352325,46.4968366667,207816,42.803954576545,8.373532976137636,8.373532976137636,False,Primulaceae,48064.0,ok,,,,False,,,
Andryala integrifolia,69,Andryala,333717,273,2897.966595498757,333717,149,2697.946804608048,100,40.732551865013,28.0426908733,49.3941148229,333717,40.732551865013,7.972109606088368,7.900616903527015,False,Asteraceae,47604.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""1746074"",""ref_ID"":""10247"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Andryala"",""species_epithet"":""integrifolia"",""author"":"""",""matched"":""1"",""resolved"":""1"",""work_ID"":""2258"",""work_species"":""Andryala integrifolia""}",review,medium
Anemone pavonina,45,Anemone,1318569,217,922.9625922403908,1318569,149,922.9625922403908,100,39.19615109336,36.4761173905,42.4437,1318569,39.19615109336,6.828671586233839,6.828671586233839,False,Ranunculaceae,48231.0,ok,unknown,,,False,unknown,inference,low
Anemonoides blanda,52,Anemonoides,950617,339,11506.667807104066,950617,187,10807.888877840796,100,44.831578651137995,33.0478137865,60.6418403657,950617,44.831578651137995,9.350768857996899,9.288124118841644,False,Ranunculaceae,48231.0,ok,,,,False,,,
Anemonoides quinquefolia,48,Anemonoides,950598,527,2720.0564183662564,950598,195,2251.475088182109,100,42.024116378148,33.63738691,50.4142646161,950598,42.024116378148,7.908775472991759,7.719784929790751,False,Ranunculaceae,48231.0,ok,,,,False,,,
Antennaria dioica,66,Antennaria,51893,290,9541.666071896858,51893,177,9530.717901656246,100,55.403398956221,40.9375750764,69.05573333,51893,55.403398956221,9.163528187862955,9.162380242906194,False,Asteraceae,47604.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498011"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Antennaria"",""species_epithet"":""dioica"",""author"":""(L.) P. Gaertn."",""matched"":""1"",""resolved"":""1"",""work_ID"":""2510"",""work_species"":""Antennaria dioica""} | {""trait_derived_ID"":""4508615"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""insect"",""genus"":""Antennaria"",""…",horticulture|inference|review,low
Aquilegia coerulea,44,Aquilegia,501742,217,726.8946063019054,501742,157,3557.744779913225,100,39.28556520161,36.572345,41.3412940344,501742,39.28556520161,6.590156266152955,8.177163171759622,False,Ranunculaceae,48231.0,ok,mixed,,,False,zed wildflower that grows in mountainous areas from the foothills to above timberline. The flowers are mainly pollinated by bumblebees and several species of hawkmoths. The species has been the state flower of Colorado since 1899 and with its l | he bottom of the very long spurs with bumblebees visiting primarily or only for pollen. Pale to white flowers po…,flora|inference,low
Asclepias incarnata,49,Asclepias,125381,525,4177.906849153719,125381,200,3631.180117194233,100,41.289005471866005,27.6313598901,50.0111361167,125381,41.289005471866005,8.33780497197544,8.197588330230055,False,Apocynaceae,47362.0,ok,unknown,,,False,The CC0 literature synthesis classifies Asclepias incarnata as largely self-compatible (SC).,flora|review,medium
Asclepias ovalifolia,58,Asclepias,47905,124,2069.8271440863773,47905,124,2069.8271440863773,100,49.080231021935994,43.5253101965,56.232825,47905,49.080231021935994,7.635703392961142,7.635703392961142,False,Apocynaceae,47362.0,ok,,,,False,,,
Asclepias perennis,70,Asclepias,120152,350,1747.553647928794,120152,178,1697.0056429584165,100,32.234430203196,27.1439528333,39.2225500394,120152,32.234430203196,7.466544238291129,7.4372096901628355,False,Apocynaceae,47362.0,ok,unknown,,,False,unknown,flora,medium
Asclepias quadrifolia,66,Asclepias,129548,491,2248.517408047725,129548,192,2207.706124708286,100,37.942670829864,33.69712,44.5880334583,129548,37.942670829864,7.718470986881079,7.700162159127966,False,Apocynaceae,47362.0,ok,unknown,,,False,unknown,flora,medium
Asclepias viridis,40,Asclepias,60946,483,2232.30542825036,60946,191,1765.5326597424273,100,33.789002137723,25.61178516,40.100210525,60946,33.789002137723,7.711238021819615,7.476773955019136,False,Apocynaceae,47362.0,ok,unknown,,,False,unknown,flora,medium
Astragalus glycyphyllos,42,Astragalus,158900,186,6196.5851023269415,158900,180,6195.707420183033,100,49.067488108385994,40.5821208498,57.9651816876,158900,49.067488108385994,8.731914995533815,8.731773368709407,False,Fabaceae,47122.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498189"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Astragalus"",""species_epithet"":""glycyphyllos"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""4097"",""work_species"":""Astragalus glycyphyllos""} | {""trait_derived_ID"":""4510136"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee"",""genus"":""Astragalus"",""spec…",review,medium
Austroflourensia thurifera,56,Austroflourensia,1644302,177,799.4091877248595,1644302,171,799.4237193340865,100,-32.089320795839996,-33.8640883333,-28.4765780291,1644302,32.089320795839996,6.685123081560312,6.685141236620923,False,Asteraceae,47604.0,ok,,,,False,,,
Baptisia australis,75,Baptisia,83902,573,2638.572188253598,83902,200,2589.103652082228,100,39.519205202451,33.1325704884,47.57652421,83902,39.519205202451,7.878372133104917,7.859453174001769,False,Fabaceae,47122.0,ok,unknown,,,False,unknown,review,medium
Baptisia tinctoria,75,Baptisia,81897,205,1360.2306053852285,81897,172,1360.2306053852285,100,39.589347451479995,34.455393953,43.08322217,81897,39.589347451479995,7.216144426494783,7.216144426494783,False,Fabaceae,47122.0,ok,unknown,,,False,unknown,review,medium
Barbarea orthoceras,71,Barbarea,52976,164,12074.044821025887,52976,162,12074.044821025887,100,43.718277311445,24.1381195,69.5271677824,52976,43.718277311445,9.398896190400086,9.398896190400086,False,Brassicaceae,47204.0,ok,unknown,,,False,unknown,flora,medium
Bellis annua,80,Bellis,189743,184,4069.1881665623614,189743,161,4069.1881665623614,100,38.524633290384,31.8972086379,43.7270425169,189743,38.524633290384,8.311444509938553,8.311444509938553,False,Asteraceae,47604.0,ok,unknown,,,False,unknown,review,medium
Bidens aristosa,78,Bidens,51714,138,2182.2260610445933,51714,138,2182.2260610445933,100,35.494785427188,29.6989559,42.5920059593,51714,35.494785427188,7.688558906408167,7.688558906408167,False,Asteraceae,47604.0,ok,unknown,,,False,The CC0 literature synthesis classifies Bidens aristosa as largely self-incompatible (SI).,flora|review,medium
Bidens bipinnata,62,Bidens,50202,296,18842.391831402776,50202,193,18822.302960805857,100,31.187314604679,-28.3077333333,45.4628838765,50202,31.187314604679,9.843917565440213,9.84285090044014,False,Asteraceae,47604.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Bidens bipinnata as largely self-compatible (SC). | {""trait_derived_ID"":""1010244"",""ref_ID"":""10199"",""trait_ID"":""3.6.3"",""trait_value"":""insect"",""genus"":""Bidens"",""species_epithet"":""bipinnata"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""5100"",""work_species"":""Bidens bipinnata""}",flora|review,medium
Bidens cernua,64,Bidens,75765,428,10170.01633913086,75765,176,10210.661871896771,100,48.123061831858,36.1913133333,64.9231288051,75765,48.123061831858,9.227297419067218,9.23128566695311,False,Asteraceae,47604.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Bidens cernua as largely self-compatible (SC). | {""trait_derived_ID"":""4498264"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Bidens"",""species_epithet"":""cernua"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""5104"",""work_species"":""Bidens cernua""} | {""trait_derived_ID"":""4508145"",""ref_ID"":""103…",flora|review,medium
Biscutella laevigata,71,Biscutella,130492,127,2642.3632371208955,130492,127,2642.3632371208955,100,46.220002685782,36.5117202937,51.5609386713,130492,46.220002685782,7.879807338805077,7.879807338805077,False,Brassicaceae,47204.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Biscutella laevigata as largely self-incompatible (SI). | {""trait_derived_ID"":""4498276"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Biscutella"",""species_epithet"":""laevigata"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""56898"",""work_species"":""Biscutella laevigata""}",review,medium
Brodiaea coronaria,63,Brodiaea,57126,431,1149.383114192256,57126,168,1155.9661140966664,100,48.243198421414,40.2185966667,50.171911478,57126,48.243198421414,7.047850308653437,7.053556439035021,False,Asparagaceae,47599.0,ok,unknown,,,False,unknown,flora,medium
Bryonia alba,41,Bryonia,159507,102,10602.013978095933,159507,102,10602.013978095933,100,50.887614564684,40.2596047915,57.6412915155,159507,50.887614564684,9.268893577240117,9.268893577240117,False,Cucurbitaceae,48620.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498351"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Bryonia"",""species_epithet"":""alba"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""63469"",""work_species"":""Bryonia alba""}",flora|review,medium
Buddleja davidii,43,Buddleja,75916,343,19909.26835198155,75916,160,19892.55515706474,100,34.92926780049,-45.877292,57.6506347656,75916,34.92926780049,9.898990875218619,9.898151096804105,False,Scrophulariaceae,47151.0,ok,mixed,mixed,mixed,True,"Bulk source austraits_all_target_floral_v7.0.0 record austraits:Stephens_2023:1282033: pollination_syndrome = insect. | {""trait_derived_ID"":""4498355"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Buddleja"",""species_epithet"":""davidii"",""author"":""Franch."",""matched"":""1"",""resolved"":""1"",""work_ID"":""6058"",""work_species"":""Buddleja davidii""} | {…",flora|review,medium
Bursaria spinosa,47,Bursaria,83571,441,1907.5503960143683,83571,170,1925.3001113953983,100,-35.250401392785996,-43.2746610113,-26.58568,83571,35.250401392785996,7.55409927792225,7.563356401296797,False,Pittosporaceae,51596.0,ok,mixed,mixed,mixed,True,Bulk source austraits_all_target_floral_v7.0.0 record austraits:Draper_2023:436372: pollination_syndrome = insect. | Bulk source austraits_all_target_floral_v7.0.0 record austraits:White_2020:1591789: pollination_syndrome = insect.,review,medium
Calochortus concolor,41,Calochortus,64420,137,397.0251075544607,64420,135,397.0251075544607,100,33.216733997485996,30.7887527778,34.0929010545,64420,33.216733997485996,5.986515087602396,5.986515087602396,False,Liliaceae,47328.0,ok,,,,False,,,
Calochortus flexuosus,49,Calochortus,64430,267,879.0142423118037,64430,147,780.8545432525141,100,36.362984023771,32.6390388889,38.8840533333,64430,36.362984023771,6.779938091786517,6.661668717173082,False,Liliaceae,47328.0,ok,,,,False,,,
Calochortus leichtlinii,54,Calochortus,52542,467,580.5955680869336,52542,194,574.8395787764329,100,38.550732451715,36.4363040753,41.5026430342,52542,38.550732451715,6.3657753059821145,6.355829112836345,False,Liliaceae,47328.0,ok,,,,False,,,
Calochortus monophyllus,55,Calochortus,64441,424,342.276421727739,64441,165,305.5388348844767,100,39.116725653749,37.8240890503,40.5092313839,64441,39.116725653749,5.838536016857498,5.725344451703868,False,Liliaceae,47328.0,ok,,,,False,,,
Calycadenia multiglandulosa,64,Calycadenia,56863,148,285.2680664356619,56863,148,285.2680664356619,100,37.924562174924,37.01040555,39.5586737167,56863,37.924562174924,5.656928667062552,5.656928667062552,False,Asteraceae,47604.0,ok,,,,False,,,
Calystegia tuguriorum,49,Calystegia,400343,138,1328.1835834480005,400343,138,1328.1835834480005,100,-42.431125143950005,-46.6613102495,-35.6112149361,400343,42.431125143950005,7.192320185702996,7.192320185702996,False,Convolvulaceae,52345.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""5063322"",""ref_ID"":""10328"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Calystegia"",""species_epithet"":""tuguriorum"",""author"":""(G.Forst.) Hook.f."",""matched"":""1"",""resolved"":""1"",""work_ID"":""7413"",""work_species"":""Calystegia tuguriorum""}",review,medium
Campanula latifolia,48,Campanula,159760,152,11805.5744662454,159760,142,11805.5744662454,100,53.986423001986005,28.5266,64.2539230108,159760,53.986423001986005,9.376411813455169,9.376411813455169,False,Campanulaceae,48040.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498439"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Campanula"",""species_epithet"":""latifolia"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""7489"",""work_species"":""Campanula latifolia""} | {""trait_derived_ID"":""4510349"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee/beetle/butterfly/fly"",""genus"":""Camp…",review,medium
Campanula patula,56,Campanula,159763,462,4770.696564211329,159763,179,4752.023678857327,100,52.170565434386,39.23658,63.8273078726,159763,52.170565434386,8.470457194484295,8.466536258477747,False,Campanulaceae,48040.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Campanula patula as largely self-incompatible (SI). | {""trait_derived_ID"":""4498441"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Campanula"",""species_epithet"":""patula"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""7494"",""work_species"":""Campanula patula""} | {""trait_derived_ID"":""4508473"",""r…",review,medium
Cardamine amara,67,Cardamine,132481,207,4436.095843640432,132481,180,4436.095843640432,100,52.528332149122,42.4930443927,65.8420975616,132481,52.528332149122,8.397755352146385,8.397755352146385,False,Brassicaceae,47204.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498463"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Cardamine"",""species_epithet"":""amara"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""7675"",""work_species"":""Cardamine amara""} | {""trait_derived_ID"":""4509279"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee/beetle/butterfly/fly"",""genus"":""Cardamine"",""…",review,medium
Cardamine concatenata,43,Cardamine,60438,535,2234.459204220479,60438,196,2690.938778144903,100,40.147460851788,33.2471752,47.39188688,60438,40.147460851788,7.712201946444884,7.8980169483607305,False,Brassicaceae,47204.0,ok,unknown,,,False,The CC0 literature synthesis classifies Cardamine concatenata as largely self-compatible (SC).,flora|review,medium
Cardamine hirsuta,56,Cardamine,55829,472,19988.49938841387,55829,179,19929.37964936714,100,30.442010691843002,-45.8531613905,53.7063401,55829,30.442010691843002,9.902962384080006,9.900000462165757,False,Brassicaceae,47204.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Cardamine hirsuta as largely self-compatible (SC). | {""trait_derived_ID"":""1746223"",""ref_ID"":""10247"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Cardamine"",""species_epithet"":""hirsuta"",""author"":"""",""matched"":""1"",""resolved"":""1"",""work_ID"":""7699"",""work_species"":""Cardamine hirsuta""}",flora|review,medium
Carlina hispanica,58,Carlina,333950,188,1545.3926335967788,333950,141,1545.3926335967788,100,40.509885433597,33.7685900868,43.7374413031,333950,40.509885433597,7.343680164300765,7.343680164300765,False,Asteraceae,47604.0,ok,unknown,,,False,unknown,inference,low
Carlina vulgaris,40,Carlina,118834,146,3256.7224847306743,118834,145,3256.7224847306743,100,47.889295155601005,40.3608367482,57.28542148,118834,47.889295155601005,8.088783605893322,8.088783605893322,False,Asteraceae,47604.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4498659"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Carlina"",""species_epithet"":""vulgaris"",""author"":"""",""matched"":""1"",""resolved"":""1"",""work_ID"":""8218"",""work_species"":""Carlina vulgaris""} | {""trait_derived_ID"":""4498661"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Carlina"",""species_epithet"":""vu…",review,medium
Carthamus mitissimus,44,Carthamus,509198,116,885.7665478218635,509198,116,885.7665478218635,100,43.531370701764,42.3288572067,48.3573243,509198,43.531370701764,6.78758175468273,6.78758175468273,False,Asteraceae,47604.0,ok,,,,False,,,
Castilleja exserta,56,Castilleja,49343,368,1530.6785495261963,49343,172,1530.1308391546745,100,35.104510525066,30.9792533333,40.85113571,49343,35.104510525066,7.334119504215325,7.333761851937397,False,Orobanchaceae,47322.0,ok,unknown,,,False,unknown,inference,low
Castilleja foliolosa,46,Castilleja,56760,383,1020.9752286693964,56760,159,1450.3318357955557,100,35.213384164356,31.6779618837,39.1794404222,56760,35.213384164356,6.929492532377336,7.280236921289991,False,Orobanchaceae,47322.0,ok,unknown,,,False,unknown,inference,low
